Fecha,CO (mg/m3),NO (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM25 (ug/m3),SO2 (ug/m3),Provincia,Estación,Latitud,Longitud,,
02/01/2020,,26.0,29.0,13,23.0,17.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
03/01/2020,,6.0,15.0,35,22.0,16.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
04/01/2020,,5.0,8.0,44,12.0,10.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
05/01/2020,,6.0,8.0,47,7.0,6.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
06/01/2020,,7.0,12.0,26,9.0,8.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
07/01/2020,,7.0,12.0,22,8.0,7.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
08/01/2020,,20.0,20.0,11,18.0,13.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
09/01/2020,,18.0,19.0,26,20.0,16.0,3.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
10/01/2020,,8.0,18.0,39,15.0,8.0,3.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
11/01/2020,,5.0,12.0,34,13.0,9.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
12/01/2020,,8.0,10.0,27,10.0,7.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
13/01/2020,,8.0,22.0,28,15.0,9.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
14/01/2020,,5.0,14.0,53,12.0,4.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
15/01/2020,,5.0,10.0,72,11.0,3.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
16/01/2020,,5.0,7.0,74,17.0,4.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
17/01/2020,,7.0,21.0,54,12.0,4.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
18/01/2020,,5.0,9.0,59,7.0,3.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
19/01/2020,,6.0,6.0,70,10.0,3.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
20/01/2020,,5.0,5.0,67,11.0,4.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
21/01/2020,,5.0,7.0,54,9.0,4.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
22/01/2020,,5.0,8.0,54,17.0,7.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
23/01/2020,,7.0,13.0,46,27.0,8.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
24/01/2020,,7.0,19.0,27,14.0,8.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
25/01/2020,,7.0,19.0,27,10.0,6.0,2.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
26/01/2020,,7.0,13.0,51,13.0,5.0,1.0,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
27/01/2020,,5.0,9.0,58,9.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
28/01/2020,,5.0,7.0,64,4.0,1.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
29/01/2020,,5.0,11.0,52,6.0,1.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
30/01/2020,,5.0,10.0,57,7.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
31/01/2020,,5.0,9.0,50,3.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
01/02/2020,,5.0,7.0,51,5.0,1.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
02/02/2020,,8.0,11.0,37,10.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
03/02/2020,,18.0,15.0,13,31.0,10.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
04/02/2020,,10.0,11.0,21,16.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
05/02/2020,,6.0,13.0,49,10.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
06/02/2020,,11.0,20.0,23,24.0,12.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
07/02/2020,,10.0,19.0,29,33.0,17.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
08/02/2020,,6.0,19.0,48,16.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
09/02/2020,,6.0,10.0,41,11.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
10/02/2020,,3.0,7.0,50,6.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
11/02/2020,,6.0,12.0,23,12.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
12/02/2020,,4.0,5.0,27,12.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
13/02/2020,,3.0,8.0,35,9.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
14/02/2020,,6.0,9.0,26,19.0,8.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
15/02/2020,,3.0,6.0,26,15.0,9.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
16/02/2020,,3.0,2.0,36,9.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
17/02/2020,,4.0,11.0,47,8.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
18/02/2020,,2.0,5.0,42,10.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
19/02/2020,,3.0,7.0,41,16.0,7.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
20/02/2020,,5.0,8.0,36,20.0,7.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
21/02/2020,,8.0,11.0,33,26.0,13.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
22/02/2020,,5.0,8.0,30,31.0,15.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
23/02/2020,,3.0,6.0,32,29.0,15.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
24/02/2020,,6.0,20.0,29,19.0,8.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
25/02/2020,,2.0,14.0,62,16.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
26/02/2020,,3.0,14.0,66,9.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
27/02/2020,,3.0,13.0,61,38.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
